ENOG410UZD6	A0A1D5RLM8	B2FDE4	3598.1	165.1
ENOG410UTQW	Q91WD4	A0A1Y7VLG8	927.4	247.7
ENOG410UFIA	Q8BGN8	A0A286YDB6,D3Z5Q8	600.4	571.8,157.3
ENOG410UPY2	Q921R4	Q8BLF3,A0A1W2P767,A0A1W2P6T2,Q8CDJ2	1518.8	1416.1,300.5,218.2,18.1
ENOG410UJM0	Q9DAA6	A0A1S7D812	447.8	245.8
ENOG410UJJQ	Q9D424	Q3KNH8	677.6	389.4
ENOG410UPC6	Q8VHP6	Q810K1	1801.2	368.4
ENOG410V3CR	Q80WQ9		2822.3	
ENOG410UGC6	Q9Z175	E9Q0X7,Q3UM16	1724.6	985.1,976.7
ENOG410UXYI	D6RG78		61.8	
ENOG410UTRQ	P15089	Q542E3	845.8	845.8
ENOG410UPTX	E9PWI3	Q3TYX4,G3UW40	1837.2	1835.6,1831.2
ENOG410UQCI	O54910	Q3U9Q0,Q8C2I2	711.0	710.1,205.2
ENOG410UUWU	P62700	Q65Z92,Q3TDV0,Q3TMG7	283.9	282.5,282.1,280.3
ENOG410UGEW	Q5XKN4	A0A0N4SV89	412.8	63.5
ENOG410UPR7	Q8C0S4		2659.3	
ENOG410UUFI	Q7TQS2		698.6	
ENOG410UJDN	Q64287	Q5SUZ4,Q5SUZ5,A0A1Y7VIT1	1002.2	1002.2,996.8,116.5
ENOG410UMMM	Q9D3V5		672.1	
ENOG410V24A	Q8BN38		2717.0	
ENOG410USGV	Q8BWJ3	A2AHQ7,Q6PE66,Q8BLC1,A2AHQ8	2776.5	2633.3,1258.0,362.4,236.2
ENOG410UUCZ	E9QAB5	Q3V0B7,B7ZNY6,Q8BIM1	1170.9	1167.9,560.4,558.0
ENOG410UMDK	Q60771		462.9	
ENOG410UJWD	Q9JI13	Q05DV3,Q05DC6	932.9	728.0,725.3
ENOG410UTYU	P70232	A0A0N4SUM4,A0A0N4SUL1	2587.0	962.9,313.3
ENOG410UMWT	Q8BLF1	Q8BYQ0,Q3TVS3,D6RGP7	885.0	279.6,167.0,93.7
ENOG410USEI	Q9JKV7	Q0VAW4,Q3T9C7,Q3TSP4	1263.9	1266.6,1263.0,1208.1
ENOG410UWNE	P34928	A0A140LIY8	157.5	32.6
ENOG410UT59	Q80UW5	Q3V0F4	3288.4	1429.6
ENOG410UR3K	Q7M756	A6H685,B7ZMX6	677.4	678.2,678.1
ENOG410UU0F	P47968		660.3	
ENOG410UP7K	Q2KN98	A0A0R4J0J8,Q6GQV8,Q8C714,Q8C9Q9,A0A1W2P785	2479.4	2479.3,2289.1,1078.1,777.9,198.2
ENOG410UMC5	Q9Z1L3	Q3U001,Q3UYN3,D3Z0I1,D3Z0F7,D3Z4Q1,D3YZI2	733.4	733.4,732.3,518.3,397.0,363.9,63.0
ENOG410V3T1	Q38HM4	F8VPZ1,A2A9L4,B9EJZ0	777.7	785.3,779.6,760.5
ENOG410V33Q	Q04892	Q497H4,Q5XJE3,Q7TNS9,Q6NSR1,Q3UUP3,S4R1I8	595.9	766.4,764.4,758.2,717.4,595.9,397.6
ENOG410UJFQ	Q8BYL4	Q3UUD9,E9PX65,Q8BJJ2,F7BWC1	980.2	627.9,627.1,384.8,150.7
ENOG410V3DJ	Q6ZPK0	A2AHG2,E9QKW9,A2AHG4,D3Z764,F6URE6,E9PV92,A2AHG3,F6TKP4,F6U6L3,F6TL54,Q6XVF9,E0CYN5	1396.9	1537.0,1391.3,1352.3,1291.5,1235.0,1216.2,1114.9,495.6,382.3,329.5,177.2,104.8
ENOG410UFSE	Q07079	Q3UQV0,Q3TT49	609.3	609.3,267.2
ENOG410UREX	Q8BG94	Q56A13,Q8CF03,Q8BTK9,Q8BQS7,A2AU52	415.0	415.0,410.9,374.6,340.5,269.9
ENOG410UN33	Q9JIM3	G8JL31,F6TW36,Q8BYL8,F6SJP9,Q9ER90	2731.8	1244.2,423.9,320.1,314.9,214.6
ENOG410UKWF	P59111	Q9WVJ0,F6TUN6,A2A5F7	2068.7	1902.5,2071.5,1936.5
ENOG410UJIY	Q91V57	A7VK13,A7VK12,A7VK14,B2FDI2,B2FDI0,D6RCX8,B2FDI1,F7C3N6	1069.2	911.1,485.1,460.3,260.9,203.9,187.0,163.5,25.0
ENOG410UKWV	E9Q963	Q3V0P4	831.6	585.9
ENOG410UUBI	Q7TPE5		523.3	
ENOG410UJQW	Q923Z3	G5E889,D6RCK0,F6WQ99	1394.6	1397.9,414.2,178.1
ENOG410UMAV	Q9QZE5	Q9QXK3,Q922G9	1962.7	1910.0,783.5
ENOG410URJU	Q9Z2R6	Q3V299,B1AQD9,B1AQD7	505.8	505.8,495.8,413.8
ENOG410UVJC	P61364		232.0	
ENOG410UHIM	Q61190	Q8VHM7,Q3TU35,E9Q083	641.7	642.8,617.1,98.6
ENOG410UUGH	O54782	Q3TND6,F6TMZ3,Q3U875,F6Z025	1965.6	1960.6,761.1,626.5,134.1
